source	target	interaction	weight
TF_21	G_479	upregulates-expression	1.0
TF_21	G_453	upregulates-expression	1.0
TF_21	G_218	upregulates-expression	1.0
TF_21	G_580	upregulates-expression	1.0
TF_21	G_754	downregulates-expression	1.0
TF_21	G_719	downregulates-expression	1.0
TF_21	G_643	downregulates-expression	1.0
TF_21	G_637	downregulates-expression	1.0
TF_21	G_525	downregulates-expression	1.0
TF_21	G_350	downregulates-expression	1.0
TF_21	G_894	downregulates-expression	1.0
TF_22	G_642	upregulates-expression	1.0
TF_22	G_722	upregulates-expression	1.0
TF_22	G_585	upregulates-expression	1.0
TF_22	G_149	upregulates-expression	1.0
TF_22	G_799	upregulates-expression	1.0
TF_22	G_89	upregulates-expression	1.0
TF_22	G_345	upregulates-expression	1.0
TF_22	G_468	upregulates-expression	1.0
TF_22	G_838	upregulates-expression	1.0
TF_22	G_774	upregulates-expression	1.0
TF_22	G_632	upregulates-expression	1.0
TF_22	G_453	upregulates-expression	1.0
TF_22	G_519	upregulates-expression	1.0
TF_22	G_882	upregulates-expression	1.0
TF_22	G_186	upregulates-expression	1.0
TF_23	G_154	upregulates-expression	1.0
TF_23	G_301	upregulates-expression	1.0
TF_23	G_677	upregulates-expression	1.0
TF_23	G_293	upregulates-expression	1.0
TF_23	G_569	upregulates-expression	1.0
TF_23	G_552	upregulates-expression	1.0
TF_23	G_615	upregulates-expression	1.0
TF_23	G_682	upregulates-expression	1.0
TF_23	G_693	upregulates-expression	1.0
TF_23	G_311	upregulates-expression	1.0
TF_23	G_628	upregulates-expression	1.0
TF_23	G_688	upregulates-expression	1.0
TF_23	G_228	upregulates-expression	1.0
TF_23	G_89	upregulates-expression	1.0
TF_23	G_916	upregulates-expression	1.0
TF_23	G_631	downregulates-expression	1.0
TF_23	G_453	downregulates-expression	1.0
TF_24	G_495	upregulates-expression	1.0
TF_24	G_435	upregulates-expression	1.0
TF_24	G_480	upregulates-expression	1.0
TF_24	G_469	upregulates-expression	1.0
TF_24	G_194	upregulates-expression	1.0
TF_24	G_747	upregulates-expression	1.0
TF_24	G_771	upregulates-expression	1.0
TF_24	G_523	upregulates-expression	1.0
TF_24	G_490	upregulates-expression	1.0
TF_24	G_627	upregulates-expression	1.0
TF_24	G_748	upregulates-expression	1.0
TF_24	G_487	upregulates-expression	1.0
TF_24	G_86	upregulates-expression	1.0
TF_24	G_1	upregulates-expression	1.0
TF_24	G_453	upregulates-expression	1.0
TF_24	G_603	upregulates-expression	1.0
TF_24	G_510	upregulates-expression	1.0
TF_24	G_932	upregulates-expression	1.0
TF_24	G_119	upregulates-expression	1.0
TF_24	G_228	upregulates-expression	1.0
TF_24	G_926	upregulates-expression	1.0
TF_24	G_35	upregulates-expression	1.0
TF_24	G_961	upregulates-expression	1.0
TF_25	G_253	upregulates-expression	1.0
TF_26	G_993	upregulates-expression	1.0
TF_26	G_586	upregulates-expression	1.0
TF_26	G_994	upregulates-expression	1.0
TF_26	G_522	upregulates-expression	1.0
TF_26	G_268	upregulates-expression	1.0
TF_26	G_642	upregulates-expression	1.0
TF_27	G_222	downregulates-expression	1.0
TF_28	G_309	upregulates-expression	1.0
TF_28	G_447	upregulates-expression	1.0
TF_28	G_841	upregulates-expression	1.0
TF_28	G_913	upregulates-expression	1.0
TF_28	G_274	upregulates-expression	1.0
TF_28	G_803	upregulates-expression	1.0
TF_28	G_992	upregulates-expression	1.0
TF_28	G_991	upregulates-expression	1.0
TF_28	G_321	upregulates-expression	1.0
TF_28	G_523	downregulates-expression	1.0
TF_29	G_764	upregulates-expression	1.0
TF_29	G_202	upregulates-expression	1.0
TF_29	G_27	upregulates-expression	1.0
TF_29	G_140	upregulates-expression	1.0
TF_29	G_245	upregulates-expression	1.0
TF_29	G_847	upregulates-expression	1.0
TF_29	G_552	upregulates-expression	1.0
TF_29	G_328	upregulates-expression	1.0
TF_29	G_331	downregulates-expression	1.0
TF_29	G_452	downregulates-expression	1.0
TF_30	G_449	upregulates-expression	1.0
TF_30	G_14	upregulates-expression	1.0
TF_30	G_547	upregulates-expression	1.0
TF_30	G_50	upregulates-expression	1.0
TF_30	G_172	upregulates-expression	1.0
TF_30	G_608	upregulates-expression	1.0
TF_30	G_490	upregulates-expression	1.0
TF_30	G_659	upregulates-expression	1.0
TF_30	G_453	upregulates-expression	1.0
TF_30	G_737	upregulates-expression	1.0
TF_30	G_606	upregulates-expression	1.0
TF_30	G_586	upregulates-expression	1.0
TF_30	G_238	upregulates-expression	1.0
TF_30	G_126	upregulates-expression	1.0
TF_30	G_806	upregulates-expression	1.0
TF_30	G_23	upregulates-expression	1.0
TF_30	G_901	upregulates-expression	1.0
TF_30	G_957	upregulates-expression	1.0
TF_30	G_47	upregulates-expression	1.0
TF_30	G_86	upregulates-expression	1.0
TF_30	G_776	upregulates-expression	1.0
TF_30	G_615	upregulates-expression	1.0
TF_30	G_219	upregulates-expression	1.0
TF_30	G_450	upregulates-expression	1.0
TF_30	G_722	upregulates-expression	1.0
TF_30	G_445	upregulates-expression	1.0
TF_30	G_191	upregulates-expression	1.0
TF_30	G_307	upregulates-expression	1.0
TF_30	G_601	upregulates-expression	1.0
TF_30	G_62	upregulates-expression	1.0
TF_30	G_358	upregulates-expression	1.0
TF_30	G_165	upregulates-expression	1.0
TF_30	G_909	upregulates-expression	1.0
TF_30	G_847	upregulates-expression	1.0
TF_30	G_27	upregulates-expression	1.0
TF_30	G_480	upregulates-expression	1.0
TF_30	G_235	upregulates-expression	1.0
TF_30	G_818	upregulates-expression	1.0
TF_30	G_249	upregulates-expression	1.0
TF_30	G_351	upregulates-expression	1.0
TF_30	G_643	downregulates-expression	1.0
TF_30	G_477	downregulates-expression	1.0
TF_31	G_887	upregulates-expression	1.0
TF_31	G_52	upregulates-expression	1.0
TF_31	G_249	upregulates-expression	1.0
TF_31	G_372	upregulates-expression	1.0
TF_31	G_483	upregulates-expression	1.0
TF_31	G_992	upregulates-expression	1.0
TF_31	G_477	upregulates-expression	1.0
TF_31	G_651	upregulates-expression	1.0
TF_31	G_956	upregulates-expression	1.0
TF_31	G_677	upregulates-expression	1.0
TF_31	G_376	upregulates-expression	1.0
TF_31	G_289	upregulates-expression	1.0
TF_31	G_846	upregulates-expression	1.0
TF_31	G_809	upregulates-expression	1.0
TF_31	G_35	upregulates-expression	1.0
TF_31	G_453	upregulates-expression	1.0
TF_31	G_168	upregulates-expression	1.0
TF_31	G_190	upregulates-expression	1.0
TF_31	G_158	upregulates-expression	1.0
TF_31	G_687	upregulates-expression	1.0
TF_31	G_625	upregulates-expression	1.0
TF_31	G_620	upregulates-expression	1.0
TF_31	G_747	upregulates-expression	1.0
TF_31	G_395	upregulates-expression	1.0
TF_31	G_760	upregulates-expression	1.0
TF_31	G_292	upregulates-expression	1.0
TF_31	G_230	upregulates-expression	1.0
TF_31	G_252	downregulates-expression	1.0
TF_31	G_84	downregulates-expression	1.0
TF_31	G_468	downregulates-expression	1.0
TF_31	G_847	downregulates-expression	1.0
TF_31	G_263	downregulates-expression	1.0
TF_31	G_447	downregulates-expression	1.0
TF_31	G_157	downregulates-expression	1.0
TF_31	G_17	downregulates-expression	1.0
TF_31	G_848	downregulates-expression	1.0
TF_31	G_943	downregulates-expression	1.0
TF_31	G_519	downregulates-expression	1.0
TF_31	G_692	downregulates-expression	1.0
TF_31	G_111	downregulates-expression	1.0
TF_31	G_139	downregulates-expression	1.0
TF_31	G_516	downregulates-expression	1.0
TF_31	G_332	downregulates-expression	1.0
TF_31	G_134	downregulates-expression	1.0
TF_31	G_456	downregulates-expression	1.0
TF_31	G_166	downregulates-expression	1.0
TF_31	G_339	downregulates-expression	1.0
TF_31	G_931	downregulates-expression	1.0
TF_31	G_228	downregulates-expression	1.0
TF_31	G_417	downregulates-expression	1.0
TF_31	G_281	downregulates-expression	1.0
TF_32	G_200	upregulates-expression	1.0
TF_32	G_847	upregulates-expression	1.0
TF_32	G_384	upregulates-expression	1.0
TF_32	G_264	upregulates-expression	1.0
TF_32	G_453	upregulates-expression	1.0
TF_32	G_502	upregulates-expression	1.0
TF_32	G_981	upregulates-expression	1.0
TF_32	G_382	upregulates-expression	1.0
TF_32	G_308	upregulates-expression	1.0
TF_32	G_34	upregulates-expression	1.0
TF_32	G_525	upregulates-expression	1.0
TF_32	G_848	upregulates-expression	1.0
TF_32	G_281	downregulates-expression	1.0
TF_33	G_361	upregulates-expression	1.0
TF_33	G_573	upregulates-expression	1.0
TF_33	G_727	upregulates-expression	1.0
TF_33	G_468	upregulates-expression	1.0
TF_33	G_847	upregulates-expression	1.0
TF_34	G_620	upregulates-expression	1.0
TF_34	G_515	upregulates-expression	1.0
TF_34	G_340	upregulates-expression	1.0
TF_34	G_939	upregulates-expression	1.0
TF_34	G_527	upregulates-expression	1.0
TF_34	G_343	upregulates-expression	1.0
TF_34	G_147	upregulates-expression	1.0
TF_34	G_140	upregulates-expression	1.0
TF_34	G_994	upregulates-expression	1.0
TF_34	G_42	upregulates-expression	1.0
TF_34	G_249	upregulates-expression	1.0
TF_34	G_812	upregulates-expression	1.0
TF_34	G_191	upregulates-expression	1.0
TF_34	G_608	upregulates-expression	1.0
TF_34	G_181	upregulates-expression	1.0
TF_34	G_755	downregulates-expression	1.0
TF_34	G_721	downregulates-expression	1.0
TF_34	G_491	downregulates-expression	1.0
TF_34	G_726	downregulates-expression	1.0
TF_35	G_761	upregulates-expression	1.0
TF_35	G_31	upregulates-expression	1.0
TF_35	G_325	upregulates-expression	1.0
TF_35	G_218	upregulates-expression	1.0
TF_35	G_113	upregulates-expression	1.0
TF_36	G_774	upregulates-expression	1.0
TF_36	G_770	upregulates-expression	1.0
TF_36	G_311	upregulates-expression	1.0
TF_36	G_440	upregulates-expression	1.0
TF_36	G_904	upregulates-expression	1.0
TF_36	G_314	upregulates-expression	1.0
TF_36	G_771	upregulates-expression	1.0
TF_36	G_847	upregulates-expression	1.0
TF_36	G_525	upregulates-expression	1.0
TF_36	G_810	upregulates-expression	1.0
TF_37	G_784	upregulates-expression	1.0
TF_37	G_803	upregulates-expression	1.0
TF_37	G_272	upregulates-expression	1.0
TF_37	G_167	upregulates-expression	1.0
TF_37	G_843	upregulates-expression	1.0
TF_37	G_565	upregulates-expression	1.0
TF_37	G_971	upregulates-expression	1.0
TF_37	G_520	upregulates-expression	1.0
TF_37	G_123	upregulates-expression	1.0
TF_37	G_554	upregulates-expression	1.0
TF_37	G_351	upregulates-expression	1.0
TF_37	G_847	upregulates-expression	1.0
TF_37	G_325	upregulates-expression	1.0
TF_37	G_501	upregulates-expression	1.0
TF_37	G_453	upregulates-expression	1.0
TF_37	G_278	upregulates-expression	1.0
TF_37	G_47	upregulates-expression	1.0
TF_37	G_428	upregulates-expression	1.0
TF_37	G_603	upregulates-expression	1.0
TF_37	G_586	upregulates-expression	1.0
TF_37	G_722	upregulates-expression	1.0
TF_37	G_138	upregulates-expression	1.0
TF_37	G_969	upregulates-expression	1.0
TF_37	G_933	upregulates-expression	1.0
TF_37	G_419	upregulates-expression	1.0
TF_37	G_417	upregulates-expression	1.0
TF_37	G_829	upregulates-expression	1.0
TF_37	G_772	upregulates-expression	1.0
TF_37	G_36	upregulates-expression	1.0
TF_37	G_387	upregulates-expression	1.0
TF_37	G_260	upregulates-expression	1.0
TF_37	G_158	upregulates-expression	1.0
TF_37	G_834	upregulates-expression	1.0
TF_37	G_262	upregulates-expression	1.0
TF_37	G_269	upregulates-expression	1.0
TF_37	G_274	upregulates-expression	1.0
TF_37	G_902	upregulates-expression	1.0
TF_37	G_186	downregulates-expression	1.0
TF_37	G_880	downregulates-expression	1.0
TF_38	G_109	upregulates-expression	1.0
TF_38	G_480	upregulates-expression	1.0
TF_38	G_139	upregulates-expression	1.0
TF_38	G_933	upregulates-expression	1.0
TF_38	G_926	upregulates-expression	1.0
TF_39	G_78	upregulates-expression	1.0
TF_39	G_215	upregulates-expression	1.0
TF_39	G_653	upregulates-expression	1.0
TF_39	G_42	upregulates-expression	1.0
TF_39	G_256	upregulates-expression	1.0
TF_39	G_632	upregulates-expression	1.0
TF_39	G_380	upregulates-expression	1.0
TF_39	G_368	upregulates-expression	1.0
TF_39	G_529	upregulates-expression	1.0
TF_39	G_530	upregulates-expression	1.0
TF_39	G_301	upregulates-expression	1.0
TF_39	G_755	upregulates-expression	1.0
TF_39	G_321	upregulates-expression	1.0
TF_39	G_119	upregulates-expression	1.0
TF_39	G_711	upregulates-expression	1.0
TF_39	G_418	upregulates-expression	1.0
TF_39	G_354	upregulates-expression	1.0
TF_39	G_345	upregulates-expression	1.0
TF_39	G_267	upregulates-expression	1.0
TF_39	G_454	upregulates-expression	1.0
TF_39	G_953	upregulates-expression	1.0
TF_39	G_156	upregulates-expression	1.0
TF_39	G_68	upregulates-expression	1.0
TF_39	G_255	upregulates-expression	1.0
TF_39	G_873	upregulates-expression	1.0
TF_39	G_906	upregulates-expression	1.0
TF_39	G_339	upregulates-expression	1.0
TF_39	G_379	upregulates-expression	1.0
TF_39	G_202	upregulates-expression	1.0
TF_39	G_369	downregulates-expression	1.0
TF_40	G_618	upregulates-expression	1.0
TF_40	G_761	upregulates-expression	1.0
TF_40	G_40	upregulates-expression	1.0
TF_40	G_228	upregulates-expression	1.0
TF_40	G_119	upregulates-expression	1.0
TF_40	G_304	upregulates-expression	1.0
TF_40	G_616	upregulates-expression	1.0
TF_40	G_894	upregulates-expression	1.0
TF_40	G_298	upregulates-expression	1.0
TF_40	G_710	upregulates-expression	1.0
TF_40	G_217	upregulates-expression	1.0
TF_40	G_850	upregulates-expression	1.0
TF_40	G_770	upregulates-expression	1.0
TF_40	G_860	upregulates-expression	1.0
TF_40	G_202	upregulates-expression	1.0
TF_40	G_554	upregulates-expression	1.0
TF_40	G_420	upregulates-expression	1.0
TF_40	G_716	upregulates-expression	1.0
TF_40	G_650	upregulates-expression	1.0
TF_40	G_339	upregulates-expression	1.0
TF_40	G_311	upregulates-expression	1.0
TF_40	G_43	upregulates-expression	1.0
TF_40	G_222	upregulates-expression	1.0
TF_40	G_846	upregulates-expression	1.0
TF_40	G_974	upregulates-expression	1.0
TF_41	G_351	upregulates-expression	1.0
TF_41	G_293	upregulates-expression	1.0
TF_41	G_190	upregulates-expression	1.0
TF_42	G_401	upregulates-expression	1.0
TF_42	G_186	upregulates-expression	1.0
TF_42	G_64	upregulates-expression	1.0
TF_42	G_248	upregulates-expression	1.0
TF_42	G_482	upregulates-expression	1.0
TF_42	G_80	upregulates-expression	1.0
TF_42	G_29	upregulates-expression	1.0
TF_42	G_860	upregulates-expression	1.0
TF_42	G_375	upregulates-expression	1.0
TF_42	G_100	upregulates-expression	1.0
TF_42	G_293	upregulates-expression	1.0
TF_42	G_992	upregulates-expression	1.0
TF_42	G_853	upregulates-expression	1.0
TF_42	G_741	upregulates-expression	1.0
TF_42	G_36	upregulates-expression	1.0
TF_42	G_737	upregulates-expression	1.0
TF_42	G_838	upregulates-expression	1.0
TF_42	G_268	upregulates-expression	1.0
TF_42	G_428	upregulates-expression	1.0
TF_42	G_545	upregulates-expression	1.0
TF_42	G_799	upregulates-expression	1.0
TF_42	G_216	upregulates-expression	1.0
TF_42	G_494	upregulates-expression	1.0
TF_42	G_430	upregulates-expression	1.0
TF_42	G_585	upregulates-expression	1.0
TF_42	G_78	upregulates-expression	1.0
TF_42	G_925	upregulates-expression	1.0
TF_42	G_577	upregulates-expression	1.0
TF_42	G_156	upregulates-expression	1.0
TF_42	G_567	upregulates-expression	1.0
TF_42	G_847	upregulates-expression	1.0
TF_42	G_227	upregulates-expression	1.0
TF_42	G_370	upregulates-expression	1.0
TF_42	G_77	downregulates-expression	1.0
TF_42	G_491	downregulates-expression	1.0
TF_42	G_112	downregulates-expression	1.0
TF_42	G_841	downregulates-expression	1.0
TF_42	G_688	downregulates-expression	1.0
TF_43	G_992	upregulates-expression	1.0
TF_43	G_847	upregulates-expression	1.0
TF_43	G_797	upregulates-expression	1.0
TF_43	G_52	upregulates-expression	1.0
